Txn Ref,Posted On,Cust No,Txn Amount (USD),Entry Mode,Payee Name,MCC Group,Payee Age (d),Txn Country,Billing Country,New Device?,Trans Count 24H,Avg Txn 30D,Days Since Open,Particulars,Confirmed Fraud
TX-100186,2026-08-28 11:59:08,AC-4522,13.1,atm,Kestrel Trading,apparel,238,BD,BD,N,2,11.02,93,recurring subscription renewal,0
TX-100187,2026-09-09 10:44:45,AC-4117,13.2,atm,Mistral Labs,crypto_exchange,1415,NG,US,N,13,17,326,fuel top up,0
TX-100188,2026-08-23 14:21:27,AC-4570,13.64,wire_transfer,Quarry Group,fuel,78,GB,GB,Y,2,20.65,28,in store purchase,0
TX-100189,2026-08-23 06:13:51,AC-4159,9.86,wallet,Hollow Digital,restaurant,9,BD,BD,N,1,15.48,56,regular vendor payment,0
TX-100190,2026-09-01 12:13:31,AC-4381,1544.21,card_not_present,Mistral Mart,money_transfer,1,GB,GB,N,15,410.26,570,grocery basket,0
TX-100191,2026-08-30 00:05:13,AC-4789,27.09,card_not_present,Quarry Group,travel,197,US,US,N,1,29.07,29,monthly utility bill,0
TX-100192,2026-09-15 15:47:50,AC-4144,36.11,card_not_present,Kestrel Exchange,gift_cards,14,IN,US,N,1,39.5,10,in store purchase,0
TX-100193,2026-08-29 09:11:39,AC-4490,5.93,card_not_present,Mistral Mart,utilities,5,GB,GB,Y,8,8.29,553,fuel top up,0
TX-100194,2026-08-21 20:38:12,AC-4262,14.06,card_not_present,Corvid Group,fuel,40,GB,GB,Y,5,21.1,1306,payroll credit,0
TX-100195,2026-08-25 10:28:23,AC-4812,1.17,card_present,Tindal Labs,pharmacy,69,GB,GB,N,6,39.52,632,card verification test,1
TX-100196,2026-09-13 13:28:00,AC-4223,1994.68,card_present,Quarry Labs,electronics,577,BD,BD,N,5,131.66,5,regular vendor payment,0
TX-100197,2026-09-02 11:47:00,AC-4029,29.91,wallet,Hollow Retail,grocery,90,US,US,N,14,19.23,27,regular vendor payment,0
TX-100198,2026-08-20 19:28:15,AC-4546,106.11,wallet,Corvid Supply,gift_cards,22,BD,BD,Y,1,5.27,15,recurring subscription renewal,0
TX-100199,2026-09-07 16:19:16,AC-4877,2.67,wire_transfer,Orbit Group,gift_cards,3,BD,BD,N,1,7.89,9,grocery basket,0
TX-100200,2026-08-29 15:49:14,AC-4018,134.25,wallet,Larkspur Labs,travel,3,GB,GB,N,7,103.6,115,in store purchase,0
TX-100201,2026-08-30 18:28:15,AC-4303,46.32,card_present,Orbit Supply,apparel,160,GB,GB,N,4,33.28,997,recurring subscription renewal,0
TX-100202,2026-08-26 17:34:04,AC-4875,11.11,wallet,Mistral Group,crypto_exchange,361,US,US,N,6,11.44,390,fuel top up,0
TX-100203,2026-09-01 17:12:20,AC-4639,16.28,atm,Halcyon Exchange,pharmacy,9,BD,BD,N,1,13.22,418,recurring subscription renewal,0
TX-100204,2026-08-22 20:11:56,AC-4490,13.97,card_not_present,Tindal Labs,money_transfer,1556,US,US,N,3,12.25,27,in store purchase,0
TX-100205,2026-09-01 20:34:58,AC-4491,155.85,card_present,Nexa Exchange,grocery,5,NG,US,N,8,107.36,259,recurring subscription renewal,0
TX-100206,2026-08-23 23:16:24,AC-4582,4.52,card_not_present,Pallas Trading,restaurant,24,BD,BD,N,1,7.73,109,grocery basket,0
TX-100207,2026-09-13 03:47:00,AC-4521,18.43,card_not_present,Pallas Group,utilities,658,GB,GB,N,11,15.7,13,grocery basket,0
TX-100208,2026-09-12 23:04:45,AC-4556,13.59,wire_transfer,Halcyon Labs,fuel,3,BD,BD,N,1,12.76,68,in store purchase,0
TX-100209,2026-08-31 18:01:48,AC-4200,73.3,card_present,Mistral Group,crypto_exchange,88,GB,GB,Y,1,5.87,5,regular vendor payment,0
TX-100210,2026-08-18 23:19:17,AC-4706,14.46,wallet,Halcyon Supply,grocery,129,GB,GB,N,4,21.63,345,regular vendor payment,0
TX-100211,2026-09-11 10:42:46,AC-4139,2.82,atm,Vireo Retail,grocery,1126,BD,BD,N,10,16.98,10,fuel top up,0
TX-100212,2026-09-07 12:16:01,AC-4119,16.17,card_present,Vireo Retail,travel,1,GB,GB,N,1,23.15,584,fuel top up,0
TX-100213,2026-08-22 21:50:40,AC-4064,241.57,card_not_present,Larkspur Mart,money_transfer,14,GB,GB,N,11,71.38,333,grocery basket,0
TX-100214,2026-08-20 06:22:52,AC-4259,22.03,wire_transfer,Halcyon Trading,pharmacy,1027,GB,GB,N,6,28.9,279,fuel top up,0
TX-100215,2026-08-31 05:55:43,AC-4473,40.96,atm,Mistral Labs,restaurant,77,NG,US,N,4,37.59,41,grocery basket,0
TX-100216,2026-09-06 06:05:05,AC-4122,55.33,wallet,Halcyon Digital,telecom_topup,341,US,US,N,6,59.23,122,fuel top up,0
TX-100217,2026-08-17 23:02:38,AC-4044,59.94,wire_transfer,Aster Labs,electronics,137,NG,GB,Y,3,40.03,637,grocery basket,0
TX-100218,2026-08-24 22:11:11,AC-4774,56.85,wallet,Hollow Retail,fuel,28,US,US,N,15,72.48,14,payroll credit,0
TX-100219,2026-08-28 14:19:45,AC-4672,92.34,atm,Quarry Supply,pharmacy,115,BD,BD,Y,10,85.78,43,payroll credit,0
TX-100220,2026-09-14 19:33:21,AC-4475,405.8,card_present,Nexa Labs,crypto_exchange,248,BD,BD,N,15,31.92,721,grocery basket,0
TX-100221,2026-09-09 22:21:07,AC-4195,69.47,card_present,Corvid Digital,crypto_exchange,338,US,US,N,4,56.72,122,recurring subscription renewal,0
TX-100222,2026-09-15 06:31:35,AC-4352,7.26,card_present,Orbit Trading,crypto_exchange,642,BD,BD,Y,1,5,10,grocery basket,0
TX-100223,2026-09-01 23:28:50,AC-4624,15.64,card_not_present,Halcyon Mart,grocery,1563,GB,GB,Y,10,14.21,596,payroll credit,0
TX-100224,2026-09-09 19:42:25,AC-4405,28.17,wallet,Verdant Labs,fuel,31,GB,GB,N,7,35.42,510,grocery basket,0
TX-100225,2026-08-18 21:10:05,AC-4482,8.55,atm,Corvid Labs,gift_cards,41,BD,BD,N,1,9.46,8,in store purchase,0
TX-100226,2026-08-31 12:30:27,AC-4559,1.74,atm,Nexa Mart,travel,282,BD,BD,N,12,28.51,36,monthly utility bill,0
TX-100227,2026-09-11 02:14:21,AC-4699,147.66,wallet,Nexa Trading,telecom_topup,2,US,US,N,14,28.33,262,recurring subscription renewal,0
TX-100228,2026-08-17 16:49:04,AC-4242,27.1,wallet,Kestrel Mart,fuel,19,GB,GB,N,15,35.45,58,in store purchase,0
TX-100229,2026-08-30 22:29:11,AC-4067,24.82,card_present,Verdant Exchange,fuel,65,SG,GB,N,7,34.41,24,payroll credit,0
TX-100230,2026-09-08 18:40:33,AC-4676,17.68,wire_transfer,Larkspur Exchange,fuel,628,GB,GB,Y,1,12.85,39,grocery basket,0
TX-100231,2026-08-24 16:58:51,AC-4863,79.44,card_present,Nexa Digital,pharmacy,108,GB,GB,N,1,14.75,626,payroll credit,0
TX-100232,2026-09-01 08:18:42,AC-4715,2.7,card_present,Quarry Exchange,gift_cards,17,US,US,N,5,5,225,grocery basket,0
TX-100233,2026-08-21 01:29:55,AC-4195,28.95,card_present,Quarry Labs,restaurant,16,GB,GB,N,11,27.86,985,payroll credit,0
TX-100234,2026-09-02 13:19:35,AC-4562,16.47,atm,Vireo Group,pharmacy,37,BD,BD,N,3,12.31,8,recurring subscription renewal,0
TX-100235,2026-08-29 14:05:25,AC-4580,183.64,card_not_present,Quarry Retail,restaurant,151,NG,GB,N,15,22.66,220,grocery basket,0
TX-100236,2026-09-07 15:47:40,AC-4550,41.72,wire_transfer,Verdant Supply,restaurant,26,BD,BD,Y,9,40.54,1042,grocery basket,0
TX-100237,2026-08-31 14:08:32,AC-4546,27.9,wallet,Mistral Labs,electronics,23,US,US,N,1,29.79,10,payroll credit,0
TX-100238,2026-08-22 21:30:21,AC-4359,1.68,card_not_present,Halcyon Digital,restaurant,5,DE,GB,N,1,12.85,174,grocery basket,0
TX-100239,2026-08-27 17:14:00,AC-4813,31.47,card_not_present,Kestrel Group,crypto_exchange,31,US,US,N,1,45.06,287,monthly utility bill,0
TX-100240,2026-09-02 22:56:44,AC-4508,15.41,atm,Pallas Retail,restaurant,656,BD,BD,N,3,13.92,256,recurring subscription renewal,0
TX-100241,2026-09-13 10:54:08,AC-4449,34.95,wallet,Pallas Labs,pharmacy,16,BD,BD,Y,9,66.51,91,recurring subscription renewal,0
TX-100242,2026-09-05 20:07:29,AC-4239,21.98,wire_transfer,Verdant Trading,gift_cards,6,BD,BD,N,7,23.99,1036,regular vendor payment,0
TX-100243,2026-09-14 18:48:19,AC-4059,13.43,atm,Kestrel Labs,fuel,79,GB,GB,N,7,18.24,76,monthly utility bill,0
TX-100244,2026-09-09 08:53:11,AC-4392,33.26,atm,Pallas Retail,money_transfer,31,US,US,Y,4,28.28,58,monthly utility bill,0
TX-100245,2026-08-22 14:40:20,AC-4119,3.86,wallet,Pallas Retail,money_transfer,4,NG,US,N,1,6.33,161,recurring subscription renewal,0
TX-100246,2026-09-14 17:01:02,AC-4669,45.2,atm,Larkspur Digital,restaurant,496,BD,GB,Y,4,72.7,44,payroll credit,0
TX-100247,2026-09-01 19:04:20,AC-4272,3.44,wallet,Hollow Supply,fuel,3,BD,BD,N,6,5,33,payroll credit,0
TX-100248,2026-08-28 22:02:46,AC-4876,1.5,card_present,Vireo Group,apparel,1130,US,US,N,8,5,16,in store purchase,0
TX-100249,2026-09-12 13:54:59,AC-4539,252,wallet,Halcyon Exchange,money_transfer,2,BD,BD,N,12,13.31,165,recurring subscription renewal,0
TX-100250,2026-08-18 23:21:50,AC-4751,0.44,wallet,Orbit Exchange,utilities,606,GB,GB,N,11,39.67,195,new payee first transfer,1
TX-100251,2026-08-21 21:48:19,AC-4331,92.21,card_present,Orbit Mart,telecom_topup,1467,GB,GB,N,7,14.45,8,payroll credit,0
TX-100252,2026-08-19 06:59:17,AC-4316,5.24,card_present,Tindal Labs,restaurant,123,GB,GB,N,1,9.59,372,payroll credit,0
TX-100253,2026-09-14 11:17:48,AC-4538,5.6,wire_transfer,Vireo Exchange,pharmacy,11,DE,BD,Y,10,7.55,88,regular vendor payment,0
TX-100254,2026-09-04 07:07:08,AC-4871,9.13,card_not_present,Halcyon Labs,crypto_exchange,338,GB,GB,Y,6,13.6,12,in store purchase,0
TX-100255,2026-08-22 11:44:02,AC-4696,10.35,card_present,Mistral Group,travel,11,IN,GB,N,15,6.49,88,in store purchase,0
TX-100256,2026-08-22 16:18:04,AC-4088,52.98,atm,Mistral Supply,fuel,169,BD,BD,N,2,57.99,134,fuel top up,0
TX-100257,2026-08-25 20:23:01,AC-4771,10.14,atm,Mistral Exchange,crypto_exchange,78,RU,GB,N,1,15.96,42,in store purchase,0
TX-100258,2026-09-04 00:36:15,AC-4566,22.88,atm,Aster Supply,crypto_exchange,2,DE,BD,N,8,26.34,48,payroll credit,0
TX-100259,2026-09-09 11:38:11,AC-4534,1.34,wire_transfer,Hollow Trading,grocery,28,US,US,N,9,11.52,28,monthly utility bill,0
TX-100260,2026-09-13 06:30:30,AC-4249,13.63,card_not_present,Vireo Retail,gift_cards,1,US,US,Y,12,23.09,36,grocery basket,0
TX-100261,2026-09-03 14:11:31,AC-4346,37.8,card_present,Larkspur Labs,crypto_exchange,6,RU,BD,N,1,29.94,354,regular vendor payment,0
TX-100262,2026-08-24 03:28:47,AC-4533,9,card_not_present,Meridian Digital,apparel,260,GB,GB,N,10,9.74,27,in store purchase,0
TX-100263,2026-09-06 06:19:52,AC-4043,3.99,atm,Larkspur Exchange,telecom_topup,231,BD,BD,N,5,6.86,71,payroll credit,0
TX-100264,2026-08-29 18:31:54,AC-4767,15.81,wire_transfer,Nexa Supply,utilities,43,US,US,N,1,20.13,10,recurring subscription renewal,0
TX-100265,2026-09-13 20:19:39,AC-4888,27.68,card_present,Meridian Trading,telecom_topup,222,US,US,N,2,28.2,72,regular vendor payment,0
TX-100266,2026-08-20 12:48:09,AC-4842,29.43,atm,Verdant Group,travel,19,SG,BD,N,7,23.39,346,monthly utility bill,0
TX-100267,2026-09-06 10:43:33,AC-4338,26.43,card_present,Verdant Mart,money_transfer,26,GB,GB,N,9,19.25,10,regular vendor payment,0
TX-100268,2026-08-24 12:56:44,AC-4837,42.33,wallet,Halcyon Digital,crypto_exchange,36,GB,GB,N,9,29.72,90,regular vendor payment,0
TX-100269,2026-09-03 21:36:39,AC-4161,28.15,atm,Aster Supply,gift_cards,37,GB,GB,N,8,21.93,251,in store purchase,0
TX-100270,2026-09-15 04:54:34,AC-4307,2.38,wallet,Pallas Digital,electronics,53,NG,GB,N,12,34.7,28,refund reversal retry,1
TX-100271,2026-09-11 03:15:31,AC-4559,116.01,wallet,Mistral Mart,money_transfer,8,US,US,N,8,38.78,663,payroll credit,0
TX-100272,2026-08-21 22:01:56,AC-4235,12.84,wire_transfer,Orbit Digital,travel,458,BD,BD,Y,13,15.56,60,recurring subscription renewal,0
TX-100273,2026-08-20 13:34:17,AC-4556,11.47,wallet,Meridian Supply,gift_cards,1095,NG,GB,N,15,14.34,8,grocery basket,0
TX-100274,2026-09-06 17:18:38,AC-4242,100.83,card_present,Pallas Retail,grocery,3,BD,BD,Y,1,32.17,932,payroll credit,0
TX-100275,2026-09-03 18:27:07,AC-4891,45.84,card_present,Quarry Retail,utilities,13,AE,US,N,15,34.74,18,grocery basket,0
TX-100276,2026-08-20 12:35:28,AC-4141,193.39,wire_transfer,Kestrel Exchange,pharmacy,148,US,US,N,1,165.78,37,monthly utility bill,0
TX-100277,2026-09-10 22:48:57,AC-4622,24.04,atm,Aster Retail,grocery,892,MY,US,N,15,28.45,12,recurring subscription renewal,0
TX-100278,2026-09-01 13:47:31,AC-4623,17.49,wallet,Corvid Group,apparel,2,DE,BD,N,1,25.29,34,in store purchase,0
TX-100279,2026-09-01 17:26:54,AC-4406,18.86,card_not_present,Vireo Group,pharmacy,7,GB,GB,N,2,18.53,10,monthly utility bill,0
TX-100280,2026-09-03 04:38:41,AC-4421,27.34,card_present,Meridian Mart,apparel,279,US,US,N,13,24.33,33,grocery basket,0
TX-100281,2026-09-06 13:09:15,AC-4182,19.69,card_not_present,Corvid Exchange,grocery,3,GB,GB,N,10,29.66,309,fuel top up,0
TX-100282,2026-09-12 11:16:19,AC-4175,192.62,wire_transfer,Kestrel Digital,utilities,16,US,US,N,8,12.7,846,monthly utility bill,0
TX-100283,2026-09-10 06:21:31,AC-4801,35.75,wire_transfer,Quarry Digital,fuel,430,GB,GB,N,3,32.41,885,fuel top up,0
TX-100284,2026-09-09 06:01:02,AC-4539,8.61,card_present,Larkspur Labs,utilities,3,US,US,N,7,7.15,76,recurring subscription renewal,0
TX-100285,2026-09-12 11:41:20,AC-4565,675.43,atm,Corvid Exchange,grocery,819,GB,GB,N,1,52.65,1179,grocery basket,0
TX-100286,2026-09-15 13:25:21,AC-4403,7.76,card_present,Halcyon Exchange,telecom_topup,4,US,US,N,10,8.5,7,payroll credit,0
TX-100287,2026-09-02 15:46:11,AC-4577,18.16,wire_transfer,Vireo Mart,travel,727,NG,BD,N,1,21.33,9,recurring subscription renewal,0
TX-100288,2026-08-31 06:18:39,AC-4562,8.5,atm,Mistral Digital,grocery,7,BD,BD,N,11,11.88,20,recurring subscription renewal,0
TX-100289,2026-08-31 23:33:35,AC-4282,33.73,card_not_present,Verdant Group,pharmacy,294,BD,BD,N,1,32.7,325,in store purchase,0
TX-100290,2026-09-15 04:30:28,AC-4742,11.87,card_present,Orbit Labs,telecom_topup,14,GB,GB,N,6,19.15,42,fuel top up,0
TX-100291,2026-08-29 15:08:19,AC-4691,48.33,wire_transfer,Corvid Retail,restaurant,24,GB,GB,N,3,44.2,284,monthly utility bill,0
TX-100292,2026-09-11 05:15:08,AC-4867,14.48,wallet,Corvid Retail,apparel,295,BD,BD,N,5,18.96,52,monthly utility bill,0
TX-100293,2026-08-25 18:25:04,AC-4810,5.98,card_not_present,Kestrel Group,pharmacy,8,GB,GB,N,7,10.95,141,regular vendor payment,0
TX-100294,2026-09-11 05:02:54,AC-4626,30.54,wallet,Kestrel Trading,pharmacy,118,US,US,N,5,19.76,6,recurring subscription renewal,0
TX-100295,2026-09-02 08:21:20,AC-4685,41.79,atm,Meridian Retail,crypto_exchange,2,US,US,N,12,27.64,667,fuel top up,0
TX-100296,2026-08-23 08:53:50,AC-4134,5.29,wallet,Orbit Retail,telecom_topup,201,IN,US,Y,6,6.52,126,recurring subscription renewal,0
TX-100297,2026-09-12 01:00:24,AC-4576,19.38,atm,Meridian Mart,money_transfer,4,US,US,N,1,25.66,38,regular vendor payment,0
TX-100298,2026-08-20 22:43:56,AC-4533,19.51,card_not_present,Larkspur Mart,utilities,2,BD,BD,N,2,35.65,702,recurring subscription renewal,0
TX-100299,2026-09-04 10:03:49,AC-4606,30.02,card_not_present,Aster Digital,money_transfer,7,GB,GB,Y,7,29.02,1205,recurring subscription renewal,0
TX-100300,2026-08-24 18:27:56,AC-4499,34.33,card_present,Larkspur Group,electronics,5,GB,GB,N,11,37.21,394,in store purchase,0
TX-100301,2026-09-14 15:29:51,AC-4720,17.34,wallet,Hollow Supply,grocery,8,GB,GB,Y,1,24.55,8,monthly utility bill,0
TX-100302,2026-09-02 19:51:00,AC-4329,33.73,wire_transfer,Pallas Mart,utilities,8,GB,GB,N,7,23.46,1164,in store purchase,0
TX-100303,2026-09-03 13:42:37,AC-4516,34.19,wallet,Vireo Digital,restaurant,17,US,US,N,4,21.37,39,payroll credit,0
TX-100304,2026-08-18 15:36:05,AC-4830,15.55,atm,Hollow Retail,utilities,8,BD,BD,N,2,17.64,17,regular vendor payment,0
TX-100305,2026-08-30 17:19:11,AC-4337,8.48,card_not_present,Meridian Supply,restaurant,252,US,BD,N,11,17.61,32,grocery basket,0
TX-100306,2026-08-24 20:51:54,AC-4431,113.87,card_present,Aster Trading,travel,4,GB,GB,N,6,87.35,102,regular vendor payment,0
TX-100307,2026-09-02 14:53:44,AC-4667,65.53,wallet,Orbit Digital,gift_cards,16,US,US,Y,5,11.08,277,in store purchase,0
TX-100308,2026-09-08 18:37:52,AC-4410,24.84,atm,Hollow Mart,fuel,1596,US,BD,Y,1,16.32,18,fuel top up,0
TX-100309,2026-08-27 19:22:31,AC-4608,120.79,card_present,Vireo Retail,restaurant,3,US,US,N,15,13.11,367,grocery basket,0
TX-100310,2026-08-19 02:20:07,AC-4601,71.73,card_not_present,Verdant Digital,utilities,128,GB,GB,N,14,50.69,571,in store purchase,0
TX-100311,2026-08-25 06:00:53,AC-4046,85.9,atm,Nexa Exchange,utilities,417,GB,GB,N,15,50.61,950,payroll credit,0
TX-100312,2026-09-03 22:44:29,AC-4723,0.83,card_present,Nexa Digital,grocery,26,US,US,N,7,14.54,993,recurring subscription renewal,0
TX-100313,2026-09-10 02:27:26,AC-4362,11.87,card_present,Meridian Retail,grocery,97,GB,GB,N,9,14.24,8,recurring subscription renewal,0
TX-100314,2026-08-17 22:10:06,AC-4863,4.76,wallet,Verdant Digital,money_transfer,1,US,US,Y,1,5,226,in store purchase,0
TX-100315,2026-09-07 06:39:25,AC-4538,14.5,atm,Meridian Trading,restaurant,49,BD,BD,N,9,19.47,1143,in store purchase,0
TX-100316,2026-08-25 21:08:23,AC-4487,5.22,atm,Hollow Group,crypto_exchange,411,US,US,N,3,8.14,7,payroll credit,0
TX-100317,2026-08-17 22:40:18,AC-4108,56.94,card_not_present,Verdant Group,restaurant,3,NG,GB,Y,5,16.04,63,fuel top up,1
TX-100318,2026-09-06 15:25:23,AC-4818,210.63,wallet,Nexa Exchange,fuel,73,BD,BD,N,14,34.96,587,recurring subscription renewal,0
TX-100319,2026-08-25 02:31:45,AC-4164,32.65,card_present,Corvid Supply,fuel,2,GB,GB,N,4,25.63,76,in store purchase,0
TX-100320,2026-09-08 15:31:35,AC-4228,12.98,card_not_present,Vireo Mart,pharmacy,1,DE,GB,N,1,24.68,681,payroll credit,0
TX-100321,2026-09-12 16:18:37,AC-4622,53.62,atm,Mistral Retail,money_transfer,811,BD,BD,N,4,59.81,5,in store purchase,0
TX-100322,2026-09-03 14:28:30,AC-4413,320.5,card_present,Quarry Group,crypto_exchange,2,US,US,N,2,35.96,1244,recurring subscription renewal,0
TX-100323,2026-09-11 13:32:04,AC-4379,18.55,wallet,Halcyon Exchange,pharmacy,2,DE,GB,N,6,22.31,94,recurring subscription renewal,0
TX-100324,2026-08-25 12:27:12,AC-4596,61.22,atm,Meridian Group,electronics,2,BD,BD,Y,7,72.47,131,regular vendor payment,0
TX-100325,2026-09-09 22:11:54,AC-4606,14.03,atm,Tindal Group,electronics,162,US,BD,N,4,25.08,86,payroll credit,0
TX-100326,2026-08-20 13:17:43,AC-4124,13.59,atm,Corvid Group,gift_cards,564,AE,US,N,9,12.61,6,payroll credit,0
TX-100327,2026-09-02 22:52:19,AC-4760,15.31,card_present,Tindal Supply,telecom_topup,5,GB,GB,N,1,15.72,48,grocery basket,0
TX-100328,2026-09-15 05:17:50,AC-4513,8.53,card_present,Hollow Trading,utilities,1,GB,GB,N,1,11.94,171,in store purchase,0
TX-100329,2026-08-30 15:05:34,AC-4748,13.36,atm,Pallas Group,apparel,285,US,US,Y,10,10,48,payroll credit,0
TX-100330,2026-09-10 19:22:25,AC-4733,5,atm,Tindal Trading,money_transfer,1468,US,US,Y,3,5,75,in store purchase,0
TX-100331,2026-08-26 08:21:31,AC-4479,36.64,card_present,Corvid Digital,travel,934,RU,BD,N,1,26.26,1120,in store purchase,0
TX-100332,2026-09-12 22:48:43,AC-4684,465.43,wallet,Vireo Labs,apparel,2,GB,GB,N,1,30.63,37,monthly utility bill,0
TX-100333,2026-09-02 11:35:42,AC-4379,23.87,card_not_present,Meridian Trading,telecom_topup,370,GB,GB,N,1,21.73,54,recurring subscription renewal,0
TX-100334,2026-09-07 22:45:14,AC-4310,10.36,card_present,Kestrel Retail,grocery,221,GB,BD,Y,5,9.44,26,regular vendor payment,0
TX-100335,2026-08-21 15:40:42,AC-4577,10.86,card_present,Meridian Retail,crypto_exchange,368,GB,GB,N,10,14.15,651,payroll credit,0
TX-100336,2026-09-11 18:59:09,AC-4187,4.08,wire_transfer,Kestrel Retail,utilities,90,US,US,N,2,5,134,in store purchase,0
TX-100337,2026-08-23 03:16:02,AC-4725,18.91,wallet,Halcyon Group,restaurant,29,BD,BD,N,1,19.59,846,in store purchase,0
TX-100338,2026-09-11 02:46:54,AC-4164,3.9,card_not_present,Orbit Mart,crypto_exchange,142,US,US,N,1,5,298,fuel top up,0
TX-100339,2026-09-06 23:50:29,AC-4755,11.52,wallet,Corvid Exchange,fuel,9,GB,GB,N,7,7.17,20,in store purchase,0
TX-100340,2026-09-13 17:51:38,AC-4003,13.06,card_present,Meridian Trading,electronics,10,GB,GB,N,13,19.01,950,in store purchase,0
TX-100341,2026-09-14 19:06:46,AC-4861,22.29,card_not_present,Mistral Supply,utilities,49,US,US,Y,6,23.15,14,fuel top up,0
TX-100342,2026-08-29 02:04:52,AC-4472,13.39,card_present,Aster Trading,telecom_topup,116,BD,BD,N,1,20.47,42,fuel top up,0
TX-100343,2026-09-07 23:45:19,AC-4514,24.97,wire_transfer,Quarry Exchange,gift_cards,1,US,US,N,10,26.27,321,fuel top up,0
TX-100344,2026-08-20 16:06:19,AC-4637,8.98,card_not_present,Hollow Labs,money_transfer,4,US,GB,N,1,6.15,369,grocery basket,0
TX-100345,2026-08-25 05:22:12,AC-4608,37.61,wire_transfer,Tindal Digital,utilities,1,BD,BD,N,14,35.93,813,fuel top up,0
TX-100346,2026-08-23 08:54:01,AC-4134,9.19,card_present,Hollow Group,apparel,169,BD,BD,N,1,14.07,142,monthly utility bill,0
TX-100347,2026-09-04 13:03:22,AC-4384,25.17,wallet,Aster Supply,travel,951,US,US,N,1,20.39,390,grocery basket,0
TX-100348,2026-08-20 14:48:56,AC-4184,11.47,wallet,Mistral Trading,utilities,44,BD,BD,N,3,15.26,108,monthly utility bill,0
TX-100349,2026-09-16 03:57:57,AC-4516,201.32,wallet,Pallas Mart,utilities,39,US,US,N,1,19.99,13,regular vendor payment,0
TX-100350,2026-09-08 08:45:23,AC-4354,74.37,atm,Nexa Supply,grocery,48,US,US,N,8,81.89,1115,in store purchase,0
TX-100351,2026-08-21 13:52:44,AC-4025,69.5,atm,Quarry Trading,fuel,581,BD,BD,Y,2,64.34,45,recurring subscription renewal,0
TX-100352,2026-08-24 17:47:04,AC-4256,13.74,wire_transfer,Nexa Mart,telecom_topup,184,AE,GB,N,10,11.94,438,fuel top up,0
TX-100353,2026-09-09 22:40:04,AC-4435,331.96,card_not_present,Aster Labs,restaurant,141,AE,BD,Y,10,37.38,554,account credential update then purchase,1
TX-100354,2026-08-31 17:32:09,AC-4522,18.36,wire_transfer,Corvid Trading,gift_cards,65,US,US,N,1,13.64,500,regular vendor payment,0
TX-100355,2026-08-20 15:22:20,AC-4252,40.42,wallet,Quarry Mart,apparel,1,US,US,Y,5,28.4,31,regular vendor payment,0
TX-100356,2026-09-03 21:14:30,AC-4418,7.84,card_present,Corvid Exchange,gift_cards,55,US,US,N,4,8.25,258,recurring subscription renewal,0
TX-100357,2026-09-09 16:56:50,AC-4344,3.72,wire_transfer,Larkspur Group,electronics,43,US,US,Y,3,6.01,363,fuel top up,0
TX-100358,2026-08-31 11:56:51,AC-4535,33.82,card_not_present,Orbit Trading,apparel,296,BD,BD,N,1,42.04,70,grocery basket,0
TX-100359,2026-08-29 21:27:37,AC-4661,130.69,card_not_present,Mistral Exchange,electronics,1,MY,BD,N,1,8.94,90,fuel top up,1
TX-100360,2026-09-02 06:52:59,AC-4135,1,atm,Halcyon Digital,apparel,988,BD,BD,Y,6,146.45,293,recurring subscription renewal,0
TX-100361,2026-08-30 15:36:44,AC-4144,13.9,card_present,Hollow Retail,telecom_topup,1116,US,US,N,8,15.4,88,grocery basket,0
TX-100362,2026-09-15 14:24:48,AC-4667,44.43,card_not_present,Halcyon Retail,apparel,1,GB,GB,Y,5,41.88,164,recurring subscription renewal,0
TX-100363,2026-08-17 23:33:34,AC-4061,38.32,card_not_present,Meridian Labs,electronics,361,US,US,N,1,41.19,334,in store purchase,0
TX-100364,2026-09-14 07:03:46,AC-4289,6.78,card_present,Corvid Labs,electronics,736,US,US,N,13,6.75,16,grocery basket,0
TX-100365,2026-08-26 12:33:21,AC-4794,69.12,card_not_present,Aster Labs,pharmacy,38,US,US,N,1,53.84,186,fuel top up,0
TX-100366,2026-09-03 23:29:34,AC-4645,21.36,wallet,Meridian Labs,restaurant,9,BD,BD,N,4,41.9,21,monthly utility bill,0
TX-100367,2026-09-08 21:12:56,AC-4649,23.04,atm,Aster Mart,grocery,111,GB,GB,N,6,5,123,payroll credit,0
TX-100368,2026-08-19 21:55:54,AC-4423,11.21,atm,Pallas Group,utilities,1,US,US,Y,6,16.65,13,payroll credit,0
TX-100369,2026-08-22 01:13:41,AC-4184,19.55,wire_transfer,Verdant Exchange,apparel,415,BD,BD,N,5,17.42,70,fuel top up,0
TX-100370,2026-08-21 14:45:35,AC-4365,24.83,wallet,Kestrel Trading,utilities,2,BD,BD,N,1,16.11,11,monthly utility bill,0
TX-100371,2026-08-31 07:52:20,AC-4294,16.45,wallet,Corvid Digital,grocery,15,GB,GB,Y,12,18.76,7,in store purchase,0
TX-100372,2026-09-09 11:43:50,AC-4195,4.99,card_not_present,Orbit Mart,pharmacy,113,US,US,N,1,7.55,850,regular vendor payment,0
TX-100373,2026-08-22 11:59:03,AC-4355,72.35,card_not_present,Meridian Group,utilities,9,BD,BD,N,9,56.74,84,payroll credit,0
TX-100374,2026-09-03 11:10:32,AC-4163,16.88,card_not_present,Larkspur Labs,utilities,8,BD,BD,N,1,17.56,147,in store purchase,0
